Date,EUR/USD Close,Gold USD Close,TSLA Open,TSLA High,TSLA Low,TSLA Close,TSLA Volume,EMA_25,EMA_50,EMA_100,EMA_200,EMA_300,Bollinger_up,Bollinger_mid,Bollinger_low,RSI,MACD,MACD_Signal
2024-04-26,1.0698620080947876,2334.800048828125,168.85000610351562,172.1199951171875,166.3699951171875,168.2899932861328,108896700.0,161.9117130208054,168.9660860967858,182.19694185237415,198.7163792948405,206.4643866879628,183.82620943577976,161.33599929809571,138.84578916041167,55.442009791826244,-3.4814118464209116,-5.178868900509522
2024-04-25,1.0699878931045532,2329.800048828125,158.9600067138672,170.8800048828125,158.36000061035156,170.17999267578125,126427500.0,161.38018966536146,168.9936817217104,182.47789030825783,199.0221721190486,206.7197338010185,183.4950334520377,161.16649932861327,138.83796520518885,57.3253986395071,-4.735100856280184,-5.603233164031674
2024-04-24,1.0704345703125,2324.5,162.83999633789062,167.97000122070312,157.50999450683594,162.1300048828125,181178000.0,160.64687274782648,168.9452608664422,182.7263326846715,199.3120432692322,206.96414678513378,182.92121497670345,160.90249938964843,138.8837838025934,50.70202977938276,-6.458826026991602,-5.820266240969547
2024-04-23,1.065405249595642,2327.699951171875,143.3300018310547,147.25999450683594,141.11000061035156,144.67999267578125,124545100.0,160.52327840324432,169.22343458005975,183.14242011501207,199.6857320972364,207.2640407109018,183.81379414243335,161.35149917602538,138.88920420961742,28.30321934589561,-7.745344472841083,-5.660626294464033
2024-04-22,1.065825343132019,2332.199951171875,140.55999755859375,144.44000244140625,138.8000030517578,142.0500030517578,107097600.0,161.84355221386625,170.2252077190099,183.91943885115816,200.23855359895958,207.68266310578556,183.82569756525763,162.53649978637696,141.2473020074963,23.434644678096518,-7.498021763040839,-5.139446749869771
2024-04-21,1.0644185543060305,2398.39990234375,148.97000122070312,150.94000244140625,146.22000122070312,147.0500030517578,86005100.0,163.49301464404195,171.3752160727753,184.76528603902483,200.8233631521978,208.1216775543075,182.91230703399486,163.7654998779297,144.61869272186453,26.62653633264259,-6.8055051533509925,-4.549802996577004
2024-04-20,1.0644185543060305,2398.39990234375,148.97000122070312,150.94000244140625,146.22000122070312,147.0500030517578,86005100.0,164.86326561006564,172.36808191036783,185.5272109478585,201.36379893210173,208.53018373827103,183.31302648783898,165.17399978637695,147.03497308491492,26.62653633264259,-6.33170387838905,-3.985877457383506
2024-04-19,1.0644185543060305,2398.39990234375,148.97000122070312,150.94000244140625,146.22000122070312,147.0500030517578,86005100.0,166.3477041565913,173.40147288418865,186.30452827909284,201.90966622738156,208.94142240507045,183.27258479767255,166.6109992980957,149.94941379851883,26.626536332642587,-5.6348636492065225,-3.39942085213212
2024-04-18,1.0669398307800293,2382.300048828125,151.25,152.1999969482422,148.6999969482422,149.92999267578125,96098800.0,167.95584591532744,174.47704308143074,187.09754899075617,202.46101962613156,209.3554118321829,182.52808279678132,168.04799880981446,153.5679148228476,28.41115541606988,-4.663480467243261,-2.8405601528635196
2024-04-17,1.0621461868286133,2371.699951171875,157.63999938964844,158.3300018310547,153.77999877929688,155.4499969482422,82439700.0,169.4580003519563,175.47896350615113,187.84840871429103,202.98896964573308,209.75290627470065,181.56068387692997,169.34099884033202,157.12131380373407,32.25928211827714,-3.6490451608235333,-2.384830074268584
2024-04-16,1.0625749826431274,2390.800048828125,156.74000549316406,158.19000244140625,153.75,157.11000061035156,97000000.0,170.62533396893247,176.29647234524947,188.5029220833021,203.46674826580838,210.11613643741944,181.07758199999552,170.35799865722657,159.63841531445763,33.52735649898521,-2.8632166023954824,-2.068776302629847
2024-04-15,1.0649627447128296,2365.800048828125,170.24000549316406,170.69000244140625,161.3800048828125,161.47999572753906,100245300.0,171.7516117488142,177.07959364055142,189.1371225170991,203.93264522716976,210.47069252990818,181.1163352776901,171.4939987182617,161.87166215883332,37.091467927052186,-1.9875853737454179,-1.8701662276884385
2024-04-14,1.0726851224899292,2356.199951171875,172.33999633789062,173.80999755859375,170.36000061035156,171.0500030517578,64506600.0,172.60757975058715,177.7163119227152,189.69585235123162,204.3593050211359,210.7983894984859,181.1092209422207,172.30349884033203,163.49777673844335,47.32090207749827,-1.2859961393094181,-1.8408114411741938
2024-04-13,1.0726851224899292,2356.199951171875,172.33999633789062,173.80999755859375,170.36000061035156,171.0500030517578,64506600.0,172.7373778088229,177.9884061623461,190.07253617546343,204.6940718750995,211.06426499311286,181.17015212136621,172.38249893188475,163.5948457424033,47.32090207749827,-1.3462085001597757,-1.9795152666403877
2024-04-12,1.0726851224899292,2356.199951171875,172.33999633789062,173.80999755859375,170.36000061035156,171.0500030517578,64506600.0,172.87799237191166,178.2716062893089,190.45682977392212,205.0322032200577,211.331918919142,181.1663442343961,172.37149887084962,163.57665350730315,47.320902077498275,-1.403480153461004,-2.1378419582605406
2024-04-11,1.074171543121338,2354.800048828125,172.5500030517578,175.8800048828125,168.50999450683594,174.60000610351562,94516000.0,173.0303248152578,178.56636560512732,190.8488868794204,205.37373286999036,211.60136317243553,181.16247548259156,172.36049880981446,163.55852213703736,51.54280290754932,-1.4561653523514906,-2.321432409460425
2024-04-10,1.0859296321868896,2329.60009765625,173.0399932861328,174.92999267578125,170.00999450683594,171.75999450683594,84532400.0,172.89951804123632,178.7282578296829,191.17714709711544,205.6830165560856,211.8488638886156,180.93544938013875,172.1719985961914,163.40854781224405,48.10325098790494,-1.8636850936256053,-2.5377491737376583
2024-04-09,1.0863661766052246,2343.5,172.91000366210938,179.22000122070312,171.9199981689453,176.8800048828125,103232700.0,172.99447833576968,179.0126767408195,191.56941280600998,206.02395145105294,212.11701686106898,180.99066332823492,172.22499923706056,163.4593351458862,54.5899258264423,-2.06755550855533,-2.7062651937656717
2024-04-08,1.0830481052398682,2331.699951171875,169.33999633789062,174.5,167.7899932861328,172.97999572753906,104423300.0,172.67068445684944,179.09972457175857,191.86616852163013,206.3168554366634,212.35271593784663,180.81547410791825,172.16399917602538,163.51252424413252,49.80203896998331,-2.819004905404256,-2.865942615068257
2024-04-07,1.0837054252624512,2325.699951171875,169.0800018310547,170.86000061035156,160.50999450683594,164.89999389648438,141250700.0,172.6449085176253,179.34950942254304,192.2477073659552,206.6518992528355,212.61607861483864,180.73141924030799,172.08099975585938,163.43058027141078,37.02903062781148,-3.3400320411304563,-2.8776770424842577
